Sample_name,MSE,Order
U22-h2-VS2-20-7.5-13052024-Q=40.11mLphut-1.txt,1.6396050970442002,"(2, 1, 2)"
U22-h2-VS2-7.5-0-13052024-Q=39.58mLphut-1.txt,0.38860114297999915,"(3, 1, 5)"
U23-H1-VS2-12.5-0-14052024-Q=51.44mL-phút-2.txt,8.674481723669588,"(2, 0, 3)"
U23-H1-VS2-20-12.5-14052024-Q=50.6mL-min-3.txt,13.207274477669609,"(5, 1, 5)"
U25-H1-20-7.5-15052024-Q=50.72mL_phút-3.txt,21.67707012200657,"(5, 0, 5)"
U25-H1-VS2-12.5-0-15052024-Q=50.88mL_phút-3.txt,10.460016574326428,"(2, 0, 3)"
U27-H1-VS2-7.5-0-16052024-Q=51.72mL-phút-2.txt,4.039531968279625,"(5, 0, 4)"
U28-H2-VS2-17.5-15-16052024-Q=40.3mL-phút-2.txt,4.815677606950479,"(5, 1, 2)"
U29-H1-VS2-12.5-2.5-17052024-Q=50.42mL-phút-3.txt,6.524299926767221,"(5, 1, 2)"
U29-H1-VS2-20-7.5-17052024-Q=50.18mL-phút-4.txt,10.039894255581785,"(5, 0, 3)"
U30-H2-VS2-20-7.5-17052024-Q=41.2mL-min-4.txt,11.606157343008034,"(2, 1, 2)"
U31-H1-VS2-17.5-12.5-20052024-Q=50.64mL-phút-4.txt,5.7865277187546305,"(1, 1, 2)"
U33-H1-VS2-17.5-2.5-21052024-Q=49.86mL-phút-1.txt,4.743965616483961,"(4, 0, 5)"
U33-H1-VS2-7.5-0-21052024-Q=48.82mL-phút-3.txt,3.9109213187326475,"(1, 1, 1)"
U34-H2-VS2-17.5-2.5-21052024-Q=39.14mL-phút-2.txt,0.7182024295256412,"(1, 0, 2)"
U35-H1-VS2-17.5-2.5-22052024-Q=48.38mL-phút-3.txt,16.587862796221508,"(5, 1, 5)"
U36-H2-VS2-20-5-22052024-Q=40.52mL-phút-1.txt,1.3026962063496563,"(4, 1, 5)"
U37-H1-VS2-15-2.5-23052024-Q=50.04mL-phút-1.txt,3.504448983036242,"(5, 0, 3)"
U37-H1-VS2-20-5-23052024-Q=50.12mL-phút-2.txt,7.031454075744335,"(5, 1, 1)"
U39-H1-VS2-15-2.5-24052024-Q=49.78mL-phút-2.txt,1.8901818641876407,"(5, 1, 1)"
U39-H1-VS2-17.5-7.5-24052024-Q=51.74mL-phút-1.txt,6.059055090298238,"(3, 1, 2)"
U4-10-0-18042024-Q=49.70mL_phút-1.txt,2.9992370949524103,"(4, 0, 2)"
U4-10-0-19042024-Q50.32mLmin-2.txt,0.28591301755824083,"(3, 1, 3)"
U4-12.5-7.5-18042024-Q=49.88mL_phút-3.txt,1.792266350673733,"(2, 0, 4)"
U4-20-10-18042024-Q=49.73mL_phút-1.txt,1.5298023319026393,"(3, 0, 4)"
U4-20-10-19042024-Q50.28mLmin-2.txt,0.9710374600960826,"(2, 1, 4)"
U4-VS2-10-2.5-01052024-Q=50.17mL_phút-3.txt,4.119948655724197,"(5, 0, 5)"
U4-VS2-17.5-10-01052024-Q=50.16mL_phút-3.txt,11.034969205330604,"(3, 0, 5)"
U40-H2-VS2-15-2.5-24052024-Q=40.72mL-phút-3.txt,0.9285718517690352,"(1, 1, 4)"
U41-h1-VS2-17.5-7.5-26052024-Q=49.83mLphut-2.txt,9.922233343336119,"(5, 1, 2)"
U42-h2-VS2-17.5-7.5-26052024-Q=39.54mLphut-3.txt,0.5721259490416011,"(5, 1, 5)"
U43-H1-VS2-15-5-27052024-Q=49.80mL-phút-1.txt,13.426368709505253,"(5, 1, 1)"
U43-H1-VS2-20-2.5-27052024-Q=50.56mL-phút-1.txt,4.883122634412217,"(2, 0, 4)"
U44-H2-VS2-15-7.5-27052024-Q=40.2mL-phút-4.txt,0.5884840768622598,"(4, 1, 2)"
U45-H1-VS2-20-2.5-28052024-Q=48.92mL-phút-2.txt,19.091049336342916,"(5, 0, 3)"
U46-H2-VS2-10-2.5-28052024-Q=38.96mL-phút-4.txt,3.201703112524309,"(0, 1, 2)"
U46-H2-VS2-17.5-7.5-28052024-Q=40.28mL-phút-3.txt,2.4706913732819515,"(2, 1, 2)"
U47-H1-VS2-15-2.5-29052024-Q=50.48mL-phút-4.txt,6.316618437548127,"(5, 0, 2)"
U47-H1-VS2-20-2.5-29052024-Q=49.44mL-phút-3.txt,6.125222770374029,"(5, 0, 2)"
U48-H2-VS2-15-5-29052024-Q=36.56mL-phút-2.txt,0.9379925171623259,"(2, 1, 2)"
U49-H1-VS2-17.5-5-30052024-Q=51.08mL-phút-1.txt,9.885001396901204,"(1, 1, 3)"
U49-H1-VS2-17.5-7.5-30052024-Q=50.28mL-phút-5.txt,17.260443247648176,"(5, 0, 4)"
U50-H2-VS2-15-5-30052024-Q=43.02mL-phút-3.txt,2.495589890801552,"(1, 1, 5)"
U51-H1-VS2-17.5-5-31052024-Q=49.62mL-phút-2.txt,12.409688005076415,"(5, 0, 2)"
U52-H2-VS2-17.5-5-31052024-Q=41.04mL-phút-3.txt,10.176259513379804,"(5, 1, 2)"
U53-H1-VS2-15-0-03062024-Q=49.8mL-phút-1.txt,8.581444552460832,"(5, 1, 4)"
U54-H3-VS2-12.5-7.5-03062024-Q=50.26mL-phút-3.txt,48.09125398491199,"(5, 1, 5)"
U55-H1-VS2-15-0-04062024-Q=51.44mL-phút-1.txt,5.800942686374854,"(2, 0, 3)"
U57-H1-12.5-2.5-L-05062024-Q=50.2mL-phút-4.txt,20.66067516543094,"(5, 0, 3)"
U59-H1-VS2-12.5-2.5-06062024-Q=49.54mL-phút-4.txt,9.577952437138151,"(5, 1, 5)"
U6-VS2-12.5-5-05052024-Q=49.12mLphut-2.txt,5.013279039943226,"(3, 1, 2)"
U61-H1-VS2-12.5-5-07062024-Q=50.84mL-phút-4.txt,4.810503381855748,"(5, 1, 5)"
U62-H3-VS2-15-0-07062024-Q=51.16mL-phút-3.txt,159.09304561963827,"(2, 1, 3)"
U63-H1-VS2-12.5-7.5-10062024-Q=50.54mL-phút-4.txt,2.4443562974020687,"(3, 0, 3)"
U63-H1-VS2-15-0-10062024-Q=50.28mL-phút-4.txt,5.775134867665082,"(2, 1, 1)"
U65-H1-VS2-15-5-1162024-Q=50.34mL-phút-5.txt,5.855466371469948,"(2, 0, 3)"
U65-H1-VS2-17.5-0-1162024-Q=50.96mL-phút-1.txt,5.457165156978155,"(4, 0, 5)"
U67-H1-VS2-17.5-2.5-12062024-Q=50.24mL-phút-4.txt,1.3640646950401631,"(4, 0, 5)"
U69-H1-VS2-17.5-0-13062024-Q=50.6mL-phút-2.txt,3.1634404403969483,"(5, 1, 5)"
