Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,7,,278.14139,3611.0,273.79,4.35139,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,8,BOD5,276.745,4086.0,272.04,4.705,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,9,,277.28722,4559.0,272.6,4.68722,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,10,,277.38621,5033.0,273.07,4.31621,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,11,,277.365,5505.0,273.41,3.955,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,12,,277.38694,5979.0,273.37,4.01694,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,13,,277.67639,6451.0,273.82,3.85639,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,14,,277.84139,6926.0,273.98,3.86139,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,15,,278.00306,7399.0,274.01,3.99306,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,16,,278.09306,7873.0,274.2,3.89306,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,17,,278.06972,8345.0,274.29,3.77972,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,18,,277.87162,8822.0,274.06,3.81162,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,19,,277.67352,9292.0,274.25,3.42352,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,0,BOD5,277.67639,301.0,273.82,3.85639,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,1,,277.84139,776.0,273.98,3.86139,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,2,,278.00306,1249.0,274.01,3.99306,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,3,,278.09306,1724.0,274.27,3.82306,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,4,,278.06972,2195.0,274.29,3.77972,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,5,,277.87162,2671.0,274.06,3.81162,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,6,,277.67352,3142.0,274.25,3.42352,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,7,BOD0,278.088,3617.0,274.29,3.798,1
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,8,,278.20483,4090.0,275.5,2.70483,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,9,,278.52793,4564.0,275.64,2.88793,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,10,,278.53138,5036.0,276.17,2.36138,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,11,,278.62035,5510.0,276.42,2.20035,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,12,,278.70267,5985.0,276.39,2.31267,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,13,,278.81066,6458.0,276.67,2.14066,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,14,,278.99448,6931.0,276.72,2.27448,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,0,BOD15,285.52577,299.0,279.62,5.90577,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,1,,285.44654,774.0,279.48,5.96654,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,2,,285.06137,1248.0,279.41,5.65137,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,3,,284.82581,1721.0,279.07,5.75581,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,4,,285.45226,2195.0,279.35,6.10226,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,5,,285.51769,2666.0,279.45,6.06769,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,6,,285.36846,3140.0,279.41,5.95846,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,7,,285.45231,3613.0,279.41,6.04231,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,8,BOD10,284.63611,4086.0,278.6,6.03611,1
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,9,,284.60962,4561.0,278.62,5.98962,1
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,10,,284.70696,5033.0,278.62,6.08696,1
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,11,,284.12572,5507.0,278.76,5.36572,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,12,,284.22231,5982.0,278.37,5.85231,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,13,,284.16576,6454.0,278.76,5.40576,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,14,,284.03333,6928.0,278.42,5.61333,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,15,,283.85039,7401.0,278.37,5.48039,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,16,,283.47692,7874.0,278.51,4.96692,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,17,,283.09261,8347.0,278.14,4.95261,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,18,,283.38704,8820.0,278.62,4.76704,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,0,BOD10,284.12572,301.0,278.76,5.36572,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,1,,284.22231,777.0,278.37,5.85231,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,2,,284.16576,1249.0,278.76,5.40576,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,3,,284.03333,1723.0,278.48,5.55333,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,4,,283.85039,2196.0,278.37,5.48039,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,5,,283.47692,2669.0,278.51,4.96692,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,6,,283.09261,3142.0,278.14,4.95261,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,7,,283.38704,3617.0,278.62,4.76704,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,8,BOD5,282.99923,4089.0,277.29,5.70923,1
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,9,,282.43708,4562.0,277.28,5.15708,1
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,10,,282.93826,5036.0,277.72,5.21826,1
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,11,,282.97208,5510.0,278.54,4.43208,1
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,12,,283.23613,5984.0,278.16,5.07613,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,13,,283.11719,6456.0,278.04,5.07719,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,14,,283.04581,6929.0,278.62,4.42581,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,15,,282.95156,7403.0,277.57,5.38156,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,16,,282.98355,7877.0,278.26,4.72355,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,17,,282.84032,8351.0,278.16,4.68032,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,18,,282.71316,8823.0,277.59,5.12316,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,19,,282.56973,9295.0,277.73,4.83973,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,0,BOD5,283.2361,301.0,278.16,5.07613,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,1,,283.0468,773.0,278.04,5.00679,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,2,,283.1172,1246.0,278.62,4.49719,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,3,,283.0458,1720.0,278.57,4.47581,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,4,,282.9516,2196.0,278.26,4.69156,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,5,,282.9836,2668.0,278.17,4.81355,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,6,,282.8403,3140.0,277.59,5.25032,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,7,,282.7132,3612.0,277.73,4.98316,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,8,BOD0,282.7055,4086.0,278.35,4.35552,1
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,9,,282.8474,4559.0,279.32,3.52743,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,10,,283.1442,5032.0,279.35,3.79421,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,11,,283.2195,5506.0,279.81,3.40948,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,12,,283.4616,5980.0,279.87,3.59158,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,13,,283.4105,6454.0,279.98,3.43053,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,14,,283.4436,6927.0,280.2,3.24359,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,15,,283.089,7399.0,280.1,2.98895,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,6,16,,283.224,7871.0,279.81,3.41395,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,0,BOD20,286.705,5946.0,276.14,10.565,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,1,,286.60393,6419.0,275.94,10.66393,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,2,,286.74607,6893.0,275.39,11.35607,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,3,,286.74643,7366.0,275.84,10.90643,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,4,,286.62786,7840.0,275.89,10.73786,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,5,,286.71241,8313.0,275.85,10.86241,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,6,,286.37042,8787.0,275.14,11.23042,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,7,,286.60292,9260.0,275.39,11.21292,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,8,,286.55304,9734.0,275.23,11.32304,0
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,9,BOD15,285.60792,10207.0,275.07,10.53792,1
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,10,,285.02739,10678.0,275.63,9.39739,1
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,11,,284.88131,11152.0,275.7,9.18131,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,12,,284.92348,11625.0,274.94,9.98348,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,13,,284.73305,12099.0,275.57,9.16305,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,14,,284.74305,12573.0,275.2,9.54305,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,15,,284.41435,13045.0,275.04,9.37435,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,16,,284.02913,13519.0,274.95,9.07913,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,17,,284.12036,13992.0,274.54,9.58036,2
02042024-BOD-20-15-Q=49.83mL/phút-1,U1-26.03.2024,0,18,,283.89179,14466.0,274.76,9.13179,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,0,BOD15,284.88131,301.0,275.7,9.18131,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,1,,284.92348,774.0,274.94,9.98348,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,2,,284.73305,1248.0,275.57,9.16305,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,3,,284.74305,1722.0,275.2,9.54305,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,4,,284.41435,2194.0,275.04,9.37435,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,5,,284.02913,2668.0,274.95,9.07913,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,6,,284.12036,3141.0,274.54,9.58036,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,7,,283.89179,3615.0,274.76,9.13179,0
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,8,BOD10,283.5125,4090.0,275.42,8.0925,1
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,9,,283.40108,4562.0,275.94,7.46108,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,10,,283.34828,5033.0,275.84,7.50828,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,11,,283.27464,5508.0,275.57,7.70464,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,12,,283.24679,5980.0,275.48,7.76679,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,13,,283.46072,6455.0,276.03,7.43072,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,14,,283.30322,6927.0,275.7,7.60322,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,15,,283.30357,7401.0,275.39,7.91357,2
02042024-BOD-15-10-Q=49.81mL/phút-3,U1-26.03.2024,1,16,,283.26643,7874.0,275.54,7.72643,2
