Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,8,,304.60488,4098.0,260.19999,44.40489,1
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,9,,309.6878,4572.0,266.79999,42.88781,1
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,10,,306.22683,5044.0,264.29999,41.92684,1
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,11,,304.16585,5518.0,266.7,37.46585,1
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,12,,310.6,5989.0,270.90001,39.69999,2
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,13,,306.59024,6464.0,268.90001,37.69023,2
U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1,U185-H5-VS2-05.09.2024,0,14,,306.24634,6937.0,267.30001,38.94633,2
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,0,GGA7.5,314.21163,311.0,248.5,65.71163,0
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,1,,313.40698,782.0,244.29999,69.10699,0
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,2,,310.7186,1256.0,243.8,66.9186,0
U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1,U187-H5-VS2-09.09.2024,0,3,,318.53023,1730.0,247.70001,70.83022,0
