,Tag,Doin (mV),No.peak,DOmin (mV),DDO (mV),Sheet Name,Sample Name
35,GGA5-HH-15,305.9881,3623,259.40001,46.588089999999966,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
36,GGA5-HH-15,304.60488,4098,260.19999,44.404889999999966,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
37,GGA5-HH-15,309.6878,4572,266.79999,42.88781,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
38,GGA5-HH-15,306.22683,5044,264.29999,41.92684000000003,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
39,GGA5-HH-15,304.16585,5518,266.7,37.46584999999999,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
40,GGA5-HH-15,310.6,5989,270.90001,39.699990000000014,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
41,GGA5-HH-15,306.59024,6464,268.90001,37.690229999999985,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
42,GGA5-HH-15,306.24634,6937,267.30001,38.94632999999999,U185-H5-VS2-05.09.2024,U185-H5-VS2-GGA5-HH 15mg-L-10092024-Q=50.4mL-phút-1
43,GGA7.5,314.21163,311,248.5,65.71163000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
44,GGA7.5,313.40698,782,244.29999,69.10698999999997,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
45,GGA7.5,310.7186,1256,243.8,66.91859999999997,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
46,GGA7.5,318.53023,1730,247.70001,70.83022000000003,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
47,GGA7.5,327.22558,2202,252.99999,74.22558999999998,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
48,GGA7.5,333.73488,2675,259.29999,74.43489,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
49,GGA7.5,335.87442,3150,260.19999,75.67442999999997,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
50,GGA7.5-HH-5,347.18837,3623,299.60001,47.58836000000002,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
51,GGA7.5-HH-5,347.16512,4100,303.09999,44.06513000000001,U187-H5-VS2-09.09.2024,U187-H5-VS2-GGA7.5-HH 5mg-L-12092024-Q=50.12mL-phút-1
