,Loại,Doin (mV),No.peak,DOmin (mV),DDO (mV),Tên sheet,Tên mẫu
0,BOD10,288.5761,301,283.82,4.75609,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
1,BOD10,288.665,769,283.73,4.935,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
2,BOD10,288.5954,1245,283.6,4.99541,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
3,BOD10,288.5774,1721,283.54,5.03739,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
4,BOD10,288.5435,2196,283.85,4.69348,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
5,BOD10,288.5604,2662,283.92,4.64044,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
6,Zn(II)-5mg/L,288.0804,3139,283.53,4.55041,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
7,Zn(II)-5mg/L,288.7675,3611,284.45,4.3175,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
8,Zn(II)-5mg/L,288.6283,4085,284.42,4.20833,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
9,Zn(II)-5mg/L,288.5563,4557,284.35,4.20625,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
10,Zn(II)-5mg/L,288.3813,5037,284.47,3.9113,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
11,Zn(II)-5mg/L,288.0722,5509,283.89,4.18217,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
12,Zn(II)-5mg/L,287.9239,5982,284.17,3.75391,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
13,Zn(II)-5mg/L,287.9087,6453,283.87,4.03874,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
14,Zn(II)-5mg/L,287.5467,6928,283.67,3.87666,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
15,Zn(II)-5mg/L,287.5863,7400,283.67,3.91625,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
16,Zn(II)-5mg/L,287.3521,7872,283.47,3.88208,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
17,Zn(II)-5mg/L,287.3317,8346,283.51,3.82166,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
18,Zn(II)-5mg/L,287.1861,8822,283.37,3.81609,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
19,BOD10,288.21458,301,283.07,5.144580000000019,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
20,BOD10,288.34666,775,283.23,5.116659999999968,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
21,BOD10,288.21959,1248,282.82,5.399589999999989,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
22,BOD10,288.3274,1720,283.41,4.9173999999999864,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
23,BOD10,288.32041,2194,283.45,4.870409999999993,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
24,BOD10,288.16565,2669,282.6,5.565650000000005,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
25,BOD10,288.09333,3141,282.85,5.243329999999958,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
26,Zn(II)-10mg/L,287.62917,3615,282.72,4.9091699999999605,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
27,Zn(II)-10mg/L,287.39875,4088,283.01,4.388750000000016,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
28,Zn(II)-10mg/L,287.48042,4562,283.28,4.200420000000008,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
29,Zn(II)-10mg/L,287.15042,5034,283.32,3.8304200000000037,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
30,Zn(II)-10mg/L,287.3887,5506,283.76,3.6286999999999807,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
31,Zn(II)-10mg/L,286.9375,5981,283.87,3.0674999999999955,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
32,Zn(II)-10mg/L,286.78208,6456,283.57,3.2120800000000145,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
33,Zn(II)-10mg/L,286.40479,6927,283.66,2.7447899999999663,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
34,Zn(II)-10mg/L,285.82083,7403,283.01,2.81083000000001,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
35,Zn(II)-10mg/L,285.35708,7875,282.48,2.877079999999978,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
36,BOD10,289.21042,301,284.81,4.400419999999997,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
37,BOD10,289.08458,775,284.98,4.104579999999999,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
38,BOD10,288.89625,1251,284.58,4.316250000000025,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
39,BOD10,288.87174,1727,284.7,4.17174,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
40,BOD10,288.77833,2198,284.5,4.278329999999983,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
41,BOD10,288.58333,2670,284.18,4.403329999999983,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
42,BOD10,288.11217,3149,283.35,4.762169999999969,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
43,Zn(II)-5mg/L,286.83917,3615,282.7,4.1391700000000355,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
44,Zn(II)-5mg/L,287.05625,4087,283.07,3.986249999999984,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
45,Zn(II)-5mg/L,287.17417,4561,283.41,3.7641699999999787,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
46,Zn(II)-5mg/L,287.41583,5037,283.47,3.945830000000001,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
47,Zn(II)-5mg/L,287.28958,5511,283.28,4.009580000000028,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
48,Zn(II)-5mg/L,287.25609,5982,283.41,3.846089999999947,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
49,Zn(II)-5mg/L,287.16625,6455,283.47,3.6962499999999636,U2-03.04.2024,U2-BOD10-Zn(II) 5mg/L-11042024-Q=50.24mL/phút-1
50,BOD10,283.53167,301,279.27,4.261670000000038,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
51,BOD10,283.70875,775,279.48,4.228749999999991,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
52,BOD10,283.73417,1251,279.52,4.214170000000024,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
53,BOD10,283.9675,1722,279.83,4.137499999999989,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
54,BOD10,283.81417,2194,279.71,4.1041700000000105,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
55,BOD10,283.49438,2671,279.69,3.8043799999999806,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
56,BOD10,283.40241,3141,279.64,3.7624099999999885,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
57,Ni(II)-10mg/L,282.96958,3615,279.52,3.449580000000026,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
58,Ni(II)-10mg/L,282.75708,4087,279.5,3.2570799999999736,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
59,Ni(II)-10mg/L,283.09833,4561,279.85,3.248329999999953,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
60,Ni(II)-10mg/L,282.99565,5036,279.92,3.075649999999996,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
61,Ni(II)-10mg/L,282.84167,5508,280.0,2.841670000000022,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
62,Ni(II)-10mg/L,282.62208,5981,279.66,2.9620799999999576,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
63,Ni(II)-10mg/L,282.85917,6452,280.29,2.5691699999999855,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
64,Ni(II)-10mg/L,282.67458,6926,280.04,2.6345799999999713,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
65,Ni(II)-10mg/L,282.66304,7400,280.02,2.643040000000042,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
66,Ni(II)-10mg/L,282.70416,7805,280.19,2.514160000000004,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
67,Ni(II)-10mg/L,282.56458,8277,280.26,2.304579999999987,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
68,Ni(II)-10mg/L,282.89261,8751,280.26,2.6326099999999997,U2-03.04.2024,U2-BOD10-Ni(II) 10mg/L-11042024-Q=49.32mL/phút-1
69,BOD10,284.67131,301,281.14,3.531310000000019,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
70,BOD10,284.695,776,280.89,3.805000000000007,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
71,BOD10,284.69167,1248,280.84,3.851670000000013,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
72,BOD10,284.98792,1723,281.1,3.8879199999999514,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
73,BOD10,284.72696,2196,280.64,4.086960000000033,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
74,BOD10,284.66435,2669,280.98,3.684349999999995,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
75,BOD10,284.02458,3141,280.19,3.8345800000000168,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
76,BOD10,284.42652,3617,280.7,3.7265199999999936,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
77,BOD10,284.6687,4089,281.0,3.668700000000001,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
78,Ni(II)-5mg/L,284.06042,4563,280.64,3.4204200000000355,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
79,Ni(II)-5mg/L,284.55375,5037,280.98,3.5737499999999613,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
80,Ni(II)-5mg/L,284.69959,5508,281.29,3.40958999999998,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
81,Ni(II)-5mg/L,284.27958,5982,281.1,3.179579999999987,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
82,Ni(II)-5mg/L,284.44792,6456,281.19,3.257920000000013,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
83,Ni(II)-5mg/L,284.50333,6929,281.59,2.9133300000000304,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
84,Ni(II)-5mg/L,284.15875,13588,281.01,3.148750000000007,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
85,Ni(II)-5mg/L,284.1725,7407,280.98,3.1924999999999955,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
86,Ni(II)-5mg/L,284.4075,7878,281.29,3.117500000000007,U2-03.04.2024,U2-BOD10-Ni(II) 5mg/L-12042024-Q=50.57mL/phút-1
87,BOD10,290.0013,301,282.29,7.71131,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
88,BOD10,289.4296,772,282.59,6.83958,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
89,BOD10,289.7138,1247,281.92,7.79375,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
90,BOD10,289.5363,1719,281.76,7.77625,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
91,BOD10,289.5913,2192,281.29,8.30125,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
92,BOD10,289.3304,2666,281.29,8.04041,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
93,BOD10,289.0831,3138,281.13,7.95305,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
94,Cr(VI)-5mg/L,287.8408,3610,278.92,8.92083,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
95,Cr(VI)-5mg/L,288.0104,4087,279.31,8.70042,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
96,Cr(VI)-5mg/L,288.4113,4558,279.79,8.62125,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
97,Cr(VI)-5mg/L,287.8433,5032,279.29,8.55333,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
98,Cr(VI)-5mg/L,287.6217,5506,279.62,8.00167,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
99,Cr(VI)-5mg/L,287.7748,5978,280.17,7.60479,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
100,Cr(VI)-5mg/L,287.757,6452,280.5,7.25696,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
101,Cr(VI)-5mg/L,287.5829,6925,280.23,7.35291,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
102,Cr(VI)-5mg/L,287.5092,7399,280.44,7.06917,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
103,Cr(VI)-5mg/L,287.6813,7871,280.79,6.89125,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
104,Cr(VI)-5mg/L,287.7157,8345,280.69,7.02566,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
105,Cr(VI)-5mg/L,287.7667,8819,280.54,7.22667,U3-12.04.2024,U3-GGA10-Cr(VI) 5mg/L-15042024-Q=49.39mL/phút-1
106,BOD10,288.1657,301,285.16,3.00565,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
107,BOD10,287.8762,773,284.87,3.00624,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
108,BOD10,288.0021,8423,284.87,3.13208,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
109,BOD10,287.6375,1720,284.75,2.8875,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
110,BOD10,287.5952,2192,284.66,2.93521,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
111,BOD10,287.2083,2666,284.07,3.13826,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
112,BOD10,287.0333,3140,283.92,3.11333,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
113,Ni(II)-15mg/L,284.4438,3614,280.1,4.34375,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
114,Ni(II)-15mg/L,286.7339,4087,284.14,2.59391,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
115,Ni(II)-15mg/L,286.6638,4560,284.5,2.16375,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
116,Ni(II)-15mg/L,286.3125,5034,284.41,1.9025,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
117,Ni(II)-15mg/L,286.3571,5508,284.47,1.88708,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
118,Ni(II)-15mg/L,286.2583,5980,284.45,1.80826,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
119,Ni(II)-15mg/L,286.0774,6453,284.47,1.60739,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
120,Ni(II)-15mg/L,286.0054,6928,284.31,1.69542,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
121,Ni(II)-15mg/L,285.8008,7399,284.07,1.73083,U3-12.04.2024,U3-GGA10-Ni(II) 15mg/L-16042024-Q=50.63mL/phút-1
122,BOD10,286.8763,301,277.82,9.05625,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
123,BOD10,287.0075,775,277.85,9.1575,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
124,BOD10,286.8721,1248,278.35,8.52208,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
125,BOD10,287.1604,1723,278.62,8.54042,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
126,BOD10,287.0392,2196,278.1,8.93917,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
127,BOD10,286.9604,2670,278.2,8.76042,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
128,Cr(VI)-10mg/L,286.7713,3143,277.2,9.5713,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
129,Cr(VI)-10mg/L,286.7261,3614,277.28,9.44608,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
130,Cr(VI)-10mg/L,287.2033,4088,277.73,9.47333,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
131,Cr(VI)-10mg/L,287.1354,4560,278.01,9.12542,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
132,Cr(VI)-10mg/L,287.0838,5034,277.82,9.26375,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
133,Cr(VI)-10mg/L,287.0167,5507,278.14,8.87667,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
134,Cr(VI)-10mg/L,287.0783,5982,278.26,8.81826,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
135,Cr(VI)-10mg/L,287.0548,6454,278.39,8.66478,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
136,Cr(VI)-10mg/L,287.0192,6927,278.57,8.44916,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
137,Cr(VI)-10mg/L,287.0974,7400,279.16,7.93739,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
138,Cr(VI)-10mg/L,287.2222,7874,279.16,8.06218,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
139,Cr(VI)-10mg/L,287.2413,8346,279.42,7.8213,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
140,Cr(VI)-10mg/L,287.1704,8822,279.25,7.92042,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
141,Cr(VI)-10mg/L,287.0546,9294,279.57,7.48458,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
142,Cr(VI)-10mg/L,286.9138,9767,279.76,7.15375,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
143,Cr(VI)-10mg/L,286.8758,10241,279.95,6.92583,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
144,Cr(VI)-10mg/L,286.6729,10714,279.6,7.07292,U4-15.04.2024,U4-GGA10-Cr(VI) 10mg/L-18042024-Q=50.60mL/phút-1
145,BOD10,288.85732,347,280.20999,8.64733000000001,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
146,BOD10,288.71953,820,280.0,8.71953000000002,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
147,BOD10,288.55447,1294,279.75,8.80446999999998,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
148,BOD10,288.46572,1767,279.85001,8.615709999999979,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
149,BOD10,288.28098,2242,279.32999,8.95098999999999,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
150,BOD10,288.40881,2715,279.25,9.158810000000017,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
151,BOD 10 - Cr(VI)-15,288.40667,3187,279.41,8.996669999999995,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
152,BOD 10 - Cr(VI)-15,288.34191,3661,279.95999,8.38191999999998,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
153,BOD 10 - Cr(VI)-15,288.37548,4135,279.98001,8.395469999999989,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
154,BOD 10 - Cr(VI)-15,288.33095,4608,280.42001,7.910939999999982,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
155,BOD 10 - Cr(VI)-15,288.32951,5081,280.76999,7.5595200000000204,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
156,BOD 10 - Cr(VI)-15,288.12167,5555,280.67001,7.451660000000004,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
157,BOD 10 - Cr(VI)-15,288.01833,6029,280.79001,7.2283199999999965,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
158,BOD 10 - Cr(VI)-15,287.8119,6502,280.94,6.871899999999982,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
159,BOD 10 - Cr(VI)-15,287.89905,6974,281.14999,6.749059999999986,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
160,BOD 10 - Cr(VI)-15,287.81829,7449,280.95999,6.858299999999986,U5 - 17.04.2024,U5-BOD10-Cr(VI) 15mg/L-19042024-Q=50.12mL/phút-1
161,BOD10,285.68204,256,278.66,7.022039999999947,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
162,BOD10,285.68767,730,278.57999,7.107680000000016,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
163,BOD10,285.54408,1203,278.41,7.134079999999983,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
164,BOD10,285.60592,1677,278.66,6.945920000000001,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
165,BOD10,285.52437,2149,278.22,7.304369999999949,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
166,BOD10,285.54058,2623,278.39001,7.150569999999959,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
167,BOD 10 - Zn(II) -15,285.80272,3096,278.32999,7.472730000000013,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
168,BOD 10 - Zn(II) -15,285.41952,3570,278.26001,7.159509999999955,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
169,BOD 10 - Zn(II) -15,284.56476,4043,277.45001,7.114749999999958,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
170,BOD 10 - Zn(II) -15,283.54524,4518,276.54999,6.995249999999999,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
171,BOD 10 - Zn(II) -15,282.64029,4992,275.75,6.890289999999993,U5 - 17.04.2024,U5-BOD10-Zn(II) 15mg/L-19042024-Q=49.88mL/phút-1
